,title,release_date,poster,allocine_id,genre
146,Noces de sang,1981-10-07,http://fr.web.img6.acsta.net/pictures/19/07/16/16/26/5035130.jpg,1795,Drame
147,Les Enfants de la nuit,2012-10-31,http://fr.web.img6.acsta.net/medias/nmedia/18/93/45/17/20322506.jpg,198659,Drame
148,Darkman,1990-11-14,http://fr.web.img2.acsta.net/pictures/17/10/12/14/25/4071055.jpg,6147,Action
151,La Religieuse portugaise (The Portuguese nun),2009-11-11,http://fr.web.img1.acsta.net/medias/nmedia/18/71/99/22/19190408.jpg,139267,Drame
152,Marie Baie des Anges,1998-03-04,http://fr.web.img3.acsta.net/medias/nmedia/18/68/14/13/19012349.jpg,9987,Comédie dramatique
153,La Boîte de Pandore,2009-04-29,http://fr.web.img6.acsta.net/medias/nmedia/18/68/95/66/19048920.jpg,141827,Drame
154,Raison et sentiments,1996-02-28,http://fr.web.img1.acsta.net/medias/nmedia/18/74/37/04/19254802.jpg,14083,Drame
155,L'Etoile du Nord,1982-03-31,http://fr.web.img1.acsta.net/medias/nmedia/18/36/32/96/18473787.jpg,15875,Drame
156,"Love, et autres drogues",2010-12-29,http://fr.web.img4.acsta.net/medias/nmedia/18/79/88/21/19599090.jpg,147203,Comédie
158,L'Escale,2013-11-27,http://fr.web.img4.acsta.net/pictures/210/068/21006802_20131028172153901.jpg,220931,Documentaire
160,L'Homme bicentenaire,2000-03-15,http://fr.web.img1.acsta.net/pictures/14/08/14/12/44/126328.jpg,27651,Comédie dramatique
161,Ligne d'eau,2014-05-14,http://fr.web.img4.acsta.net/pictures/14/03/12/10/11/487669.jpg,224259,Drame
163,Été 85,2014-06-25,http://fr.web.img3.acsta.net/pictures/14/05/12/14/23/524610.jpg,228867,Comédie dramatique
164,Elena et les Hommes,1956-09-12,http://fr.web.img5.acsta.net/medias/nmedia/18/73/82/24/19217839.jpg,98307,Comédie
166,Le Crime ne paie pas,1962-07-06,http://fr.web.img4.acsta.net/medias/nmedia/18/65/25/77/20343414.jpg,36611,Comédie
168,Angèle et Tony,2011-01-26,http://fr.web.img3.acsta.net/medias/nmedia/18/78/96/43/19623873.jpg,173827,Drame
169,L'Entraîneuse,1940-01-11,http://fr.web.img3.acsta.net/medias/nmedia/18/79/53/25/19506183.jpg,44035,Drame
170,Yvette bon Dieu !,2008-07-02,http://fr.web.img6.acsta.net/medias/nmedia/18/66/61/64/18954746.jpg,44547,Documentaire
171,Norway of Life,2007-03-28,http://fr.web.img5.acsta.net/medias/nmedia/18/60/18/00/18749877.jpg,111363,Drame
175,On verra demain,2010-10-06,http://fr.web.img3.acsta.net/medias/nmedia/18/79/83/18/19529815.jpg,184835,Drame
176,Mensonges et trahisons et plus si affinités...,2004-09-08,http://fr.web.img6.acsta.net/medias/nmedia/18/35/37/63/18387085.jpg,54019,Comédie
178,Turf,2013-02-13,http://fr.web.img6.acsta.net/medias/nmedia/18/93/38/48/20442455.jpg,187395,Comédie
180,La Guerre est déclarée,2011-08-31,http://fr.web.img1.acsta.net/medias/nmedia/18/83/92/89/19766000.jpg,189699,Drame
181,Viva Riva !,2012-04-18,http://fr.web.img3.acsta.net/medias/nmedia/18/89/64/10/20062095.jpg,189955,Drame
182,Deux vies plus une,2007-10-17,http://fr.web.img5.acsta.net/medias/nmedia/18/64/03/91/18804127.jpg,124675,Comédie dramatique
184,Half Moon,2007-07-11,http://fr.web.img3.acsta.net/medias/nmedia/18/64/41/12/18778450.jpg,124931,Comédie dramatique
186,Busong,2012-03-21,http://fr.web.img4.acsta.net/medias/nmedia/18/83/99/69/19997790.jpg,193027,Drame
187,Parker,2013-04-17,http://fr.web.img4.acsta.net/medias/nmedia/18/93/71/84/20423109.jpg,193283,Action
188,Public Enemies,2009-07-08,http://fr.web.img1.acsta.net/pictures/15/11/03/09/37/088353.jpg,128515,Thriller-Policier
190,Song for Marion,2013-05-15,http://fr.web.img6.acsta.net/medias/nmedia/18/94/47/46/20521722.jpg,197124,Comédie dramatique
191,La Famille Suricate,2008-10-15,http://fr.web.img2.acsta.net/medias/nmedia/18/66/68/69/18976786.jpg,131844,Documentaire
194,Le Dos au mur,1958-03-07,http://fr.web.img4.acsta.net/medias/nmedia/18/36/33/28/18473854.jpg,3844,Drame
196,Infiltration,2011-05-25,http://fr.web.img6.acsta.net/medias/nmedia/18/83/57/18/19707146.jpg,142084,Drame
197,Pédale douce,1996-03-27,http://fr.web.img4.acsta.net/medias/nmedia/18/65/58/12/18872150.jpg,14084,Comédie
198,Paris est toujours Paris,1952-11-28,http://fr.web.img4.acsta.net/pictures/19/05/29/10/30/3326226.jpg,15364,Comédie
199,Un Singe en hiver,1962-05-11,http://fr.web.img6.acsta.net/pictures/210/476/21047625_20131008153522592.jpg,15876,Comédie dramatique
200,Rock the Casbah,2013-09-11,http://fr.web.img6.acsta.net/pictures/210/207/21020779_20130718120418237.jpg,214532,Comédie dramatique
202,La Dilettante,1999-07-07,http://fr.web.img2.acsta.net/medias/nmedia/18/65/51/34/18867021.jpg,19972,Comédie
203,À la rencontre de Forrester,2001-04-18,http://fr.web.img6.acsta.net/medias/nmedia/00/00/00/57/69198034_af.jpg,26884,Comédie
205,Monsieur Schmidt,2003-03-05,http://fr.web.img3.acsta.net/medias/nmedia/00/02/58/44/affiche.jpg,28420,Drame
207,Platoon,1987-03-25,http://fr.web.img4.acsta.net/pictures/18/06/21/14/56/3456215.jpg,29700,Action
208,A fond la fac,1987-03-04,http://fr.web.img1.acsta.net/medias/nmedia/18/71/46/99/19135511.jpg,30980,Comédie
210,Le Quart d'heure américain,1982-11-03,http://fr.web.img6.acsta.net/medias/nmedia/18/66/75/11/19183874.jpg,33284,Comédie
212,Nostalgie de la lumière,2010-10-27,http://fr.web.img5.acsta.net/medias/nmedia/18/78/13/39/19518452.jpg,173828,Documentaire
214,Monstres Academy,2013-07-10,http://fr.web.img3.acsta.net/medias/nmedia/18/91/41/04/20484519.jpg,109572,Animation
216,Les Randonneurs à Saint-Tropez,2008-04-09,http://fr.web.img5.acsta.net/medias/nmedia/18/65/14/25/18889591.jpg,110596,Comédie
217,Un Monsieur de compagnie,1964-11-01,http://fr.web.img3.acsta.net/medias/nmedia/18/65/13/98/18870509.jpg,45572,Comédie
