allocine_id,title,release_date,pays,poster,genres
245261,600 euros,2016-06-08,,http://fr.web.img1.acsta.net/pictures/16/06/27/13/27/178150.jpg,['Drame']
181773,Margin Call,2012-05-02,,http://fr.web.img5.acsta.net/medias/nmedia/18/82/76/31/19860753.jpg,['Drame' 'Thriller']
132622,Poltergeist,2015-06-24,,http://fr.web.img1.acsta.net/pictures/15/04/27/15/14/110313.jpg,['Epouvante-horreur' 'Thriller']
202766,Magnifica Presenza,2013-07-31,,http://fr.web.img4.acsta.net/pictures/210/150/21015055_20130625104328638.jpg,['Comédie-dramatique']
140302,Devil,2011-04-20,,http://fr.web.img1.acsta.net/medias/nmedia/18/79/09/19/19584444.jpg,['Epouvante-horreur' 'Fantastique' 'Thriller']
206606,"Ini Avan, Celui qui revient",2013-07-10,,http://fr.web.img5.acsta.net/medias/nmedia/18/95/49/56/20408749.jpg,['Drame']
145934,La Terre de la folie,2010-01-13,,http://fr.web.img6.acsta.net/medias/nmedia/18/70/50/86/19216826.jpg,['Documentaire']
220942,Ilo Ilo,2013-09-04,,http://fr.web.img2.acsta.net/pictures/210/198/21019805_20130716115805416.jpg,['Drame']
222990,Sacro GRA,2014-03-26,,http://fr.web.img4.acsta.net/pictures/15/01/20/17/21/472777.jpg,['Documentaire']
226318,Gulaab Gang,2014-03-07,,http://fr.web.img1.acsta.net/pictures/14/02/25/11/32/057747.jpg,['Action' 'Drame']
177166,Les Yeux jaunes des crocodiles,2014-04-09,,http://fr.web.img5.acsta.net/pictures/14/01/31/16/50/583089.jpg,['Comédie-dramatique']
178190,Albert Nobbs,2012-02-22,,http://fr.web.img1.acsta.net/medias/nmedia/18/83/39/48/20017218.jpg,['Drame']
184078,Toumast - Entre Guitare et Kalashnikov,2011-03-30,,http://fr.web.img4.acsta.net/medias/nmedia/18/83/69/83/19703305.jpg,['Documentaire']
131855,Carré blanc,2011-09-07,,http://fr.web.img3.acsta.net/medias/nmedia/18/84/87/98/19784195.jpg,['Drame']
203023,Best Plans,2012-11-28,,http://fr.web.img2.acsta.net/medias/nmedia/18/93/69/65/20272099.jpg,['Drame']
206607,Stalingrad Lovers,2014-01-29,,http://fr.web.img6.acsta.net/pictures/201/068/20106800_20131029150423104.jpg,['Drame']
207887,Le Pouvoir,2013-05-15,,http://fr.web.img3.acsta.net/medias/nmedia/18/97/48/41/20531905.jpg,['Documentaire']
145167,Un balcon sur la mer,2010-12-15,,http://fr.web.img6.acsta.net/medias/nmedia/18/78/33/83/19559921.jpg,['Drame']
221967,States of Grace,2014-04-23,,http://fr.web.img3.acsta.net/pictures/14/03/19/15/44/124941.jpg,['Drame']
225039,Dhoom 3,2013-12-20,,http://fr.web.img1.acsta.net/pictures/13/12/10/13/06/508635.jpg,['Action' 'Comédie-musicale']
227599,Les Chevaliers du Zodiaque -  La Légende du Sanctuaire,2015-02-25,,http://fr.web.img3.acsta.net/pictures/15/02/06/14/48/596686.jpg,['Animation' 'Aventure' 'Fantastique']
229135,Le Talent De Mes Amis,2015-05-06,,http://fr.web.img1.acsta.net/pictures/15/04/08/15/18/101943.jpg,['Comédie']
172303,Les Deux chevaux de Gengis Khan,2011-07-13,,http://fr.web.img5.acsta.net/medias/nmedia/18/83/67/50/19707700.jpg,['Drame']
183567,Justin Bieber: Never Say Never,2011-02-23,,http://fr.web.img3.acsta.net/medias/nmedia/18/82/48/91/19642040.jpg,['Comédie-musicale' 'Documentaire']
